time,open,close,high,low
2021-08-13 13:00:00+00:00,148.98,149.13,149.38,148.32
2021-08-13 14:00:00+00:00,149.13,148.9,149.44,148.7
2021-08-13 15:00:00+00:00,148.91,148.36,149.08,148.33
2021-08-13 16:00:00+00:00,148.36,148.8,148.84,148.27
2021-08-13 17:00:00+00:00,148.81,148.9,149.09,148.71
2021-08-13 18:00:00+00:00,148.91,149.1,149.12,148.74
2021-08-13 19:00:00+00:00,149.09,149.1,149.11,148.88
2021-08-13 20:00:00+00:00,149.1,148.98,149.15,148.98
2021-08-13 21:00:00+00:00,148.99,148.97,149.0,148.97
2021-08-13 22:00:00+00:00,148.99,148.91,148.99,148.82
2021-08-16 04:00:00+00:00,148.8,149.15,149.4,148.6
2021-08-16 05:00:00+00:00,149.27,149.1,149.27,148.99
2021-08-16 06:00:00+00:00,149.15,148.88,149.2,148.7
2021-08-16 07:00:00+00:00,148.76,148.87,149.2,148.56
2021-08-16 08:00:00+00:00,148.83,148.73,148.94,148.62
2021-08-16 09:00:00+00:00,148.74,148.65,148.79,148.51
2021-08-16 10:00:00+00:00,148.65,148.53,148.65,148.31
2021-08-16 11:00:00+00:00,148.54,148.48,148.65,148.3
2021-08-16 12:00:00+00:00,148.49,148.51,148.58,148.31
2021-08-16 13:00:00+00:00,148.5,148.64,150.59,148.08
2021-08-16 14:00:00+00:00,148.64,147.1,148.89,146.47
2021-08-16 15:00:00+00:00,147.09,148.32,148.54,147.03
2021-08-16 16:00:00+00:00,148.33,149.5,149.72,148.28
2021-08-16 17:00:00+00:00,149.51,150.5,150.68,149.2
2021-08-16 18:00:00+00:00,150.51,150.5,150.8,150.12
2021-08-16 19:00:00+00:00,150.5,151.13,151.13,150.44
2021-08-16 20:00:00+00:00,151.12,151.42,151.59,151.0
2021-08-16 21:00:00+00:00,151.41,151.35,151.41,151.27
2021-08-16 22:00:00+00:00,151.33,151.32,151.37,151.27
2021-08-17 04:00:00+00:00,151.55,150.8,151.55,150.2
2021-08-17 05:00:00+00:00,150.69,150.65,150.92,150.63
2021-08-17 06:00:00+00:00,150.74,150.69,150.87,150.66
2021-08-17 07:00:00+00:00,150.73,150.48,150.85,150.3
2021-08-17 08:00:00+00:00,150.45,150.73,150.91,150.45
2021-08-17 09:00:00+00:00,150.68,150.57,150.87,150.43
2021-08-17 10:00:00+00:00,150.55,150.7,150.79,150.55
2021-08-17 11:00:00+00:00,150.75,150.89,151.02,150.68
2021-08-17 12:00:00+00:00,150.83,150.42,150.94,150.39
2021-08-17 13:00:00+00:00,150.44,150.5,151.67,149.32
2021-08-17 14:00:00+00:00,150.49,151.1,151.46,149.76
2021-08-17 15:00:00+00:00,151.11,150.16,151.35,150.14
2021-08-17 16:00:00+00:00,150.16,149.23,150.39,149.13
2021-08-17 17:00:00+00:00,149.22,149.48,149.67,149.1
2021-08-17 18:00:00+00:00,149.48,150.04,150.17,149.46
2021-08-17 19:00:00+00:00,150.04,150.23,150.28,149.72
2021-08-17 20:00:00+00:00,150.19,149.85,150.29,149.85
2021-08-17 21:00:00+00:00,149.91,149.9,150.04,149.82
2021-08-17 22:00:00+00:00,149.96,149.92,150.02,149.9
2021-08-18 04:00:00+00:00,150.14,150.27,150.54,149.91
2021-08-18 05:00:00+00:00,150.27,150.39,150.39,150.03
2021-08-18 06:00:00+00:00,150.39,150.35,150.39,150.11
2021-08-18 07:00:00+00:00,150.35,150.2,150.44,150.05
2021-08-18 08:00:00+00:00,150.19,150.35,150.52,149.5
2021-08-18 09:00:00+00:00,150.36,150.38,150.63,150.33
2021-08-18 10:00:00+00:00,150.42,150.63,150.66,150.4
